major_special_id,major_code,major_name,major_type,major_level2,major_level3,evaluation_label,is_new_quality_productivity_major,directions,confidence,score,rationale,tier1_examples,tier1_offer_count,tier1_interpretation,tier2_examples,tier2_offer_count,tier2_interpretation,tier3_examples,tier3_offer_count,tier3_interpretation,policy_source_ids,policy_evidence_excerpt,official_major_source,sample_basis,estimation_note,needs_review
121237,520409,朝医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121238,520703,预防医学,2,医药卫生大类,公共卫生与卫生管理类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,安徽第二医学院/安徽/排名931,1,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121239,570101,早期教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,内蒙古民族幼儿师范高等专科学校/内蒙古；合肥幼儿师范高等专科学校/安徽；贵阳幼儿师范高等专科学校/贵州；黔南民族幼儿师范高等专科学校/贵州,4,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121240,570102,学前教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,东营职业学院/山东；济宁职业技术学院/山东；淮北职业技术学院/安徽,3,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,金华职业技术大学/浙江/排名724；陇南师范学院/甘肃/排名843；武威职业技术大学/甘肃/排名1003；兴安职业技术大学/内蒙古/排名1182；三峡旅游职业技术学院/湖北,32,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校；这些层级仅按专业属性和政策证据估算。,是
121241,570103,小学教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,三明学院/福建/排名694,1,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,桂林师范学院/广西/排名628；金华职业技术大学/浙江/排名724；陇南师范学院/甘肃/排名843；崇左幼儿师范高等专科学校/广西；桐城师范高等专科学校/安徽,8,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校；这些层级仅按专业属性和政策证据估算。,是
121242,570104,小学语文教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,豫章师范学院/江西/排名773；景德镇学院/江西/排名815；陇南师范学院/甘肃/排名843；济宁学院/山东/排名888；淄博师范高等专科学校/山东,7,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121243,570105,小学数学教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,德宏师范学院/云南/排名538；豫章师范学院/江西/排名773；连云港师范学院/江苏/排名799；淄博师范高等专科学校/山东,4,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121244,570106,小学英语教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,豫章师范学院/江西/排名773；新疆师范高等专科学校/新疆；马鞍山师范高等专科学校/安徽,3,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121245,570107,小学科学教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,连云港师范学院/江苏/排名799；焦作师范高等专科学校/河南,2,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121246,570108,音乐教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,桂林师范学院/广西/排名628；陇南师范学院/甘肃/排名843；崇左幼儿师范高等专科学校/广西；焦作师范高等专科学校/河南；马鞍山师范高等专科学校/安徽,5,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于公布2020年度普通高等学校本科专业备案和审批结果及《普通高等学校本科专业目录（2021年）》的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121247,570109,美术教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,桂林师范学院/广西/排名628；连云港师范学院/江苏/排名799；陇南师范学院/甘肃/排名843；内蒙古民族幼儿师范高等专科学校/内蒙古；新疆师范高等专科学校/新疆,8,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于公布2021年度普通高等学校本科专业备案和审批结果及《普通高等学校本科专业目录（2022年）》的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121248,570110,体育教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,成都外国语学院/四川/排名983；崇左幼儿师范高等专科学校/广西；铜仁幼儿师范高等专科学校/贵州,3,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121249,570111,小学道德与法治教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,连云港师范学院/江苏/排名799,1,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121250,570112,舞蹈教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,湖北幼儿师范高等专科学校/湖北,1,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于公布2017年度普通高等学校本科专业备案和审批结果的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121251,570113,艺术教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,合肥幼儿师范高等专科学校/安徽,1,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于公布2019年度普通高等学校本科专业备案和审批结果及《普通高等学校本科专业目录（2020年版）》的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121252,570114,特殊教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,合肥幼儿师范高等专科学校/安徽；广西幼儿师范高等专科学校/广西；浙江特殊教育职业学院/浙江；襄阳职业技术大学/湖北；长沙职业技术学院/湖南,5,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121253,570115,现代教育技术,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,昭通学院/云南/排名782,1,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121254,570116,心理健康教育,2,教育与体育大类,教育类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121255,580101,治安管理,2,公安与司法大类,公安管理类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,江苏警官学院/江苏/排名255；湖南警察学院/湖南/排名371；江西警察学院/江西/排名487,3,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,甘肃警察学院/甘肃/排名576；山西警察学院/山西/排名578；安徽公安职业学院/安徽；海南政法职业学院/海南；青海警官职业学院/青海,5,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校；这些层级仅按专业属性和政策证据估算。,是
121256,580102,道路交通管理,2,公安与司法大类,公安管理类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,安徽公安职业学院/安徽；海南政法职业学院/海南,2,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
