major_code,major_name,major_level,degree,limit_year,level2_name,level3_name,core_courses_estimated,course_basis,data_note,tier1_school_examples,tier1_course_focus,tier2_school_examples,tier2_course_focus,tier3_school_examples,tier3_course_focus
020107T,劳动经济学,本科(普通),经济学学士,四年,经济学,经济学类,高等数学、西方经济学、劳动经济学原理、统计学、人力资源管理、劳动政策分析、薪酬理论与设计、劳动调查方法实训、薪酬方案设计实践、劳动政策模拟分析,rysxai_major_course,,中国人民大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：中国人民大学,首都经济贸易大学、中国劳动关系学院,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：首都经济贸易大学、中国劳动关系学院,库内未命中,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
020108T,经济工程,本科(普通),经济学学士,四年,经济学,经济学类,高等数学、微观经济学、宏观经济学、工程经济学、管理学原理、运筹学、项目经济评价、技术创新管理、产业经济分析、系统工程,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：库内未命中该层次开设样例,合肥大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：合肥大学,重庆工商大学派斯学院、同济大学浙江学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：重庆工商大学派斯学院、同济大学浙江学院
020109T,数字经济,本科(普通),经济学学士,四年,经济学,经济学类,大学英语、高等数学、计算机应用基础、数字经济导论、微观经济学、宏观经济学、统计学、计量经济学、Python程序设计、数字平台经济,rysxai_major_course,,南京大学、华中科技大学、哈尔滨工业大学、中国人民大学、南开大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：南京大学、华中科技大学、哈尔滨工业大学、中国人民大学、南开大学,江西财经大学、浙江工商大学、广州大学、昆明理工大学、首都经济贸易大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、广州大学、昆明理工大学、首都经济贸易大学,洛阳理工学院、周口师范学院、江苏第二师范学院、宿迁学院、福建技术师范学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：洛阳理工学院、周口师范学院、江苏第二师范学院、宿迁学院、福建技术师范学院
020201K,财政学,本科(普通),经济学学士,四年,经济学,财政学类,宏观经济学、微观经济学、经济学、财政学说史、中国财税史、比较财政学、外国财政制度与管理、政府预算管理、国家预算、公共支出分析,rysxai_major_course,,北京大学、浙江大学、复旦大学、南京大学、武汉大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：北京大学、浙江大学、复旦大学、南京大学、武汉大学,江西财经大学、青岛大学、首都经济贸易大学、北京工商大学、南京财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、青岛大学、首都经济贸易大学、北京工商大学、南京财经大学,吉林工商学院、河南财政金融学院、河北经贸大学经济管理学院、厦门大学嘉庚学院、山东财经大学东方学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：吉林工商学院、河南财政金融学院、河北经贸大学经济管理学院、厦门大学嘉庚学院、山东财经大学东方学院
020202,税收学,本科(普通),经济学学士,四年,经济学,财政学类,税收学基础、财政学、会计、税收学、中国税制、国际税收、税收筹划、税务代理实务、税务会计、政府预算,rysxai_major_course,,中国人民大学、厦门大学、上海财经大学、中央财经大学、中南财经政法大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：中国人民大学、厦门大学、上海财经大学、中央财经大学、中南财经政法大学,江西财经大学、上海理工大学、首都经济贸易大学、南京财经大学、广东外语外贸大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、上海理工大学、首都经济贸易大学、南京财经大学、广东外语外贸大学,重庆第二师范学院、武汉商学院、吉林工商学院、哈尔滨金融学院、新疆科技学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：重庆第二师范学院、武汉商学院、吉林工商学院、哈尔滨金融学院、新疆科技学院
020203TK,国际税收,本科(普通),经济学学士,四年,经济学,财政学类,经济学原理、财政学、税法、会计学基础、国际税收学、跨国公司税收管理、国际税收协定、国际避税与反避税、国际税收模拟实训、税务稽查实训,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：库内未命中该层次开设样例,浙江财经大学、吉林财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：浙江财经大学、吉林财经大学,库内未命中,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
020301K,金融学,本科(普通),经济学学士,四年,经济学,金融学类,西方经济学、管理学、概率论与数理统计、计量经济学、政治经济学、现代经济学原理、货币银行学、国际金融学、中级经济学、公司金融学,rysxai_major_course,,北京大学、浙江大学、上海交通大学、复旦大学、南京大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：北京大学、浙江大学、上海交通大学、复旦大学、南京大学,江西财经大学、浙江工商大学、山东师范大学、广州大学、上海理工大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、山东师范大学、广州大学、上海理工大学,广州航海学院、山东女子学院、吉林工商学院、哈尔滨金融学院、新疆理工学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：广州航海学院、山东女子学院、吉林工商学院、哈尔滨金融学院、新疆理工学院
020302,金融工程,本科(普通),经济学学士,四年,经济学,金融学类,微观经济学、货币银行学、财政金融学、会计学原理、政治经济学、金融工程学、金融衍生工具定价、金融资产定价、金融风险管理、证券投资学,rysxai_major_course,,南京大学、武汉大学、华中科技大学、西安交通大学、北京理工大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：南京大学、武汉大学、华中科技大学、西安交通大学、北京理工大学,江西财经大学、浙江工商大学、首都经济贸易大学、杭州师范大学、上海师范大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、首都经济贸易大学、杭州师范大学、上海师范大学,浙江水利水电学院、湘南学院、黄淮学院、河南工程学院、济宁学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：浙江水利水电学院、湘南学院、黄淮学院、河南工程学院、济宁学院
020303,保险学,本科(普通),经济学学士,四年,经济学,金融学类,保险学、金融学、政治经济学、管理学、利息理论、寿险精算、非寿险精算、保险经营与管理、海上保险、公司金融,rysxai_major_course,,北京大学、复旦大学、南京大学、武汉大学、中国人民大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：北京大学、复旦大学、南京大学、武汉大学、中国人民大学,江西财经大学、浙江工商大学、首都经济贸易大学、北京工商大学、南京财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、首都经济贸易大学、北京工商大学、南京财经大学,廊坊师范学院、吉林工商学院、哈尔滨金融学院、河南财政金融学院、福建商学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：廊坊师范学院、吉林工商学院、哈尔滨金融学院、河南财政金融学院、福建商学院
020304,投资学,本科(普通),经济学学士,四年,经济学,金融学类,西方经济学、投资学、统计学、投资经济学、公司金融学、金融风险管理、融资学、固定收益证券分析、衍生品投资、风险投资学,rysxai_major_course,,上海财经大学、中央财经大学、南京农业大学、中南财经政法大学、对外经济贸易大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：上海财经大学、中央财经大学、南京农业大学、中南财经政法大学、对外经济贸易大学,浙江工商大学、首都经济贸易大学、武汉科技大学、南京财经大学、浙江财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：浙江工商大学、首都经济贸易大学、武汉科技大学、南京财经大学、浙江财经大学,贵州理工学院、怀化学院、山东女子学院、山东管理学院、保定学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：贵州理工学院、怀化学院、山东女子学院、山东管理学院、保定学院
020305T,金融数学,本科(普通),经济学学士,四年,经济学,金融学类,高等代数与解析几何、数学分析、金融数学、C++程序设计、金融学、公司金融、投资学、金融市场学、商业银行经营管理、金融工程,rysxai_major_course+category_template,,天津大学、重庆大学、郑州大学、苏州大学、中南财经政法大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：天津大学、重庆大学、郑州大学、苏州大学、中南财经政法大学,西交利物浦大学、南京财经大学、浙江财经大学、山东财经大学、北师香港浸会大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：西交利物浦大学、南京财经大学、浙江财经大学、山东财经大学、北师香港浸会大学,商丘师范学院、淮南师范学院、四川文理学院、河南工学院、河南财政金融学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：商丘师范学院、淮南师范学院、四川文理学院、河南工学院、河南财政金融学院
020306T,信用管理,本科(普通),"经济学学士,管理学学士",四年,经济学,金融学类,信用管理概论、金融学、资信评级、征信技术基础、金融机构信用风险管理、信用信息与客户关系管理、金融计量学、资产组合管理、利息实务分析、证券分析,rysxai_major_course,,北京理工大学、中国人民大学、西南财经大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：北京理工大学、中国人民大学、西南财经大学,上海师范大学、浙江财经大学、南京审计大学、天津财经大学、河南财经政法大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：上海师范大学、浙江财经大学、南京审计大学、天津财经大学、河南财经政法大学,哈尔滨金融学院、重庆财经学院、郑州经贸学院、重庆工商大学派斯学院、兰州工商学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：哈尔滨金融学院、重庆财经学院、郑州经贸学院、重庆工商大学派斯学院、兰州工商学院
020307T,经济与金融,本科(普通),经济学学士,四年,经济学,金融学类,微观经济学、宏观经济学、政治经济学、统计学、金融学、公司金融、金融市场、商业银行学、证券投资学、金融经济学,rysxai_major_course,,清华大学、中南财经政法大学、对外经济贸易大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：清华大学、中南财经政法大学、对外经济贸易大学,西交利物浦大学、燕山大学、河南农业大学、南通大学、南京审计大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：西交利物浦大学、燕山大学、河南农业大学、南通大学、南京审计大学,江苏第二师范学院、六盘水师范学院、重庆第二师范学院、武汉商学院、齐鲁师范学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：江苏第二师范学院、六盘水师范学院、重庆第二师范学院、武汉商学院、齐鲁师范学院
020308T,精算学,本科(普通),"经济学学士,理学学士",四年,经济学,金融学类,利息理论、人身保险学、财产保险学、寿险精算学、风险管理、保险法、寿险精算实验、风险模型与试验、金融学、公司金融,rysxai_major_course,,南开大学、湖南大学、中央财经大学、中南财经政法大学、对外经济贸易大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：南开大学、湖南大学、中央财经大学、中南财经政法大学、对外经济贸易大学,江西财经大学、西交利物浦大学、山东财经大学、上海立信会计金融学院、云南财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、西交利物浦大学、山东财经大学、上海立信会计金融学院、云南财经大学,河南开封科技传媒学院、河北外国语学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：河南开封科技传媒学院、河北外国语学院
020309T,互联网金融,本科(普通),经济学学士,四年,经济学,金融学类,大学英语、计算机应用基础、高等数学、经济学原理、金融学、统计学、会计学、计算机网络基础、数据库原理、互联网金融概论,rysxai_major_course,,安徽大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：安徽大学,中国计量大学、安徽工业大学、沈阳工业大学、安徽工程大学、福建理工大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：中国计量大学、安徽工业大学、沈阳工业大学、安徽工程大学、福建理工大学,通化师范学院、济宁学院、巢湖学院、泰州学院、滇西科技师范学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：通化师范学院、济宁学院、巢湖学院、泰州学院、滇西科技师范学院
020310T,金融科技,本科(普通),经济学学士,四年,经济学,金融学类,高等数学、微观经济学、宏观经济学、统计学、Python程序设计、金融科技概论、区块链金融、金融大数据分析、量化投资策略、金融建模实训,rysxai_major_course,,复旦大学、北京理工大学、北京师范大学、南开大学、吉林大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：复旦大学、北京理工大学、北京师范大学、南开大学、吉林大学,江西财经大学、深圳北理莫斯科大学、首都经济贸易大学、上海师范大学、武汉科技大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、深圳北理莫斯科大学、首都经济贸易大学、上海师范大学、武汉科技大学,宿迁学院、山东管理学院、吉林工商学院、哈尔滨金融学院、广西职业师范学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：宿迁学院、山东管理学院、吉林工商学院、哈尔滨金融学院、广西职业师范学院
020311TK,金融审计,本科(普通),经济学学士,四年,经济学,金融学类,大学英语、计算机应用基础、高等数学、会计学原理、微观经济学、宏观经济学、审计学原理、金融学基础、金融审计实务、金融企业会计,rysxai_major_course,,库内未命中,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：库内未命中该层次开设样例,南京审计大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：南京审计大学,库内未命中,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
020401,国际经济与贸易,本科(普通),经济学学士,四年,经济学,经济与贸易类,西方经济学、马克思主义政治经济学、经济数学、统计学、计量经济学、中级微观经济学、中级宏观经济学、财政学、金融学、国际贸易学,rysxai_major_course,,北京大学、浙江大学、复旦大学、南京大学、武汉大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：北京大学、浙江大学、复旦大学、南京大学、武汉大学,江西财经大学、浙江工商大学、山东师范大学、广州大学、上海理工大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、山东师范大学、广州大学、上海理工大学,洛阳理工学院、周口师范学院、湘南学院、商丘师范学院、怀化学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：洛阳理工学院、周口师范学院、湘南学院、商丘师范学院、怀化学院
020402,贸易经济,本科(普通),经济学学士,四年,经济学,经济与贸易类,宏观经济学概论、贸易经济学、中外贸易史、国际经济、服务贸易概论、期货市场运作、消费经济、市场分析与研究、电子商务与网络贸易、价格理论与企业定价,rysxai_major_course,,西安交通大学、中国人民大学、中央财经大学、中南财经政法大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：西安交通大学、中国人民大学、中央财经大学、中南财经政法大学,首都经济贸易大学、北京工商大学、南京财经大学、山东财经大学、南京审计大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：首都经济贸易大学、北京工商大学、南京财经大学、山东财经大学、南京审计大学,江苏第二师范学院、四川旅游学院、楚雄师范学院、河池学院、福建商学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：江苏第二师范学院、四川旅游学院、楚雄师范学院、河池学院、福建商学院
020403T,国际经济发展合作,本科(普通),经济学学士,四年,经济学,经济与贸易类,大学英语、高等数学、经济学原理、国际经济学、发展经济学、国际关系概论、国际发展合作概论、国际援助管理、跨境项目管理、国际项目模拟实训,rysxai_major_course,,对外经济贸易大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：对外经济贸易大学,江西财经大学、上海对外经贸大学、山东财经大学、黑龙江东方学院,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、上海对外经贸大学、山东财经大学、黑龙江东方学院,库内未命中,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
030101K,法学,本科(普通),法学学士,四年,法学,法学类,习近平法治思想、法理学、法理学导论、宪法学、法律逻辑学、法学方法论、民法学、民法总论、物权法、债权法,rysxai_major_course,,清华大学、北京大学、浙江大学、上海交通大学、复旦大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看法学方法论、部门法专题、案例研判、比较法；样例：清华大学、北京大学、浙江大学、上海交通大学、复旦大学,江西财经大学、浙江工商大学、山东师范大学、广州大学、青岛大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、山东师范大学、广州大学、青岛大学,周口师范学院、湘南学院、许昌学院、吉林警察学院、商丘师范学院,普通应用/职业供给：更强调法律文书、模拟法庭、基层治理案例、实务流程，课程呈现更实训化、工具化；样例：周口师范学院、湘南学院、许昌学院、吉林警察学院、商丘师范学院
