special_id,专业代码,专业名称,专业类型,门类/大类,专业类,学位,学制,软科专业排名,平均薪资,五年平均薪资,语文要求,数学要求,英语要求,物理要求,化学要求,生物要求,政治要求,历史要求,地理要求,主要求学科,整体学科画像,评分依据简述,课程介绍覆盖,专业介绍来源,新质生产力标签,新质方向,新质判断可信度,第1层开设数,第1层样例学校,第1层适配解读,第2层开设数,第2层样例学校,第2层适配解读,第3层开设数,第3层样例学校,第3层适配解读
10129,140011TK,医疗器械与装备工程,本科(普通),交叉学科,,工学学士,四年,,0.0,0.0,4,4,3,4,1,1,1,1,1,语文、数学、物理,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；课程文本含阅读、写作、文献或沟通训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2239,相关,artificial_intelligence;bio_manufacturing,medium,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为语文、数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为语文、数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为语文、数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
121309,140012TK,具身智能,本科(普通),交叉学科,,,四年,,,,3,4,3,4,1,1,1,1,1,数学、物理,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2284,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
121310,140013TK,脑机科学与技术,本科(普通),交叉学科,,,四年,,,,3,4,3,1,1,1,1,1,1,数学,数量分析型：适合数学和逻辑能力较强，愿意处理模型、数据或流程优化的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2285,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
121311,140014T,工程互联网,本科(普通),交叉学科,,,四年,,,,3,4,3,1,1,1,1,1,1,数学,数量分析型：适合数学和逻辑能力较强，愿意处理模型、数据或流程优化的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2286,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
121312,140015T,深地科学与工程,本科(普通),交叉学科,,,四年,,,,3,2,3,1,1,1,1,1,1,语文、英语,应用技能型：学科门槛相对均衡，重点看职业场景、实操能力和持续学习。,按专业大类默认估算,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2287,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为语文、英语；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为语文、英语；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为语文、英语；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
760,500601,城市轨道交通工程技术,专科(高职),交通运输大类,城市轨道交通类,,三年,,122186.0,14200.0,3,4,3,4,2,1,1,1,4,数学、物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1111,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,1,广西交通职业技术学院/广西,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；开设数约1；本层开设样例：广西交通职业技术学院/广西。,3,广东交通职业技术学院/广东；湖北交通职业技术学院/湖北；湖南高速铁路职业技术学院/湖南,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；开设数约3；本层开设样例：广东交通职业技术学院/广东；湖北交通职业技术学院/湖北；湖南高速铁路职业技术学院/湖南。
9053,500602,城市轨道车辆应用技术,专科(高职),交通运输大类,城市轨道交通类,,三年,,117996.0,10400.0,3,4,3,5,2,1,1,1,2,物理、数学,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1740,弱相关,green_low_carbon,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为物理、数学；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,1,浙江交通职业技术学院/浙江,第2层更看学科基础与区域行业应用结合，核心学科为物理、数学；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；开设数约1；本层开设样例：浙江交通职业技术学院/浙江。,3,柳州铁道职业技术学院/广西；湖南铁路科技职业技术学院/湖南；郑州铁路职业技术学院/河南,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为物理、数学；适合目标明确、愿意把学科基础转成具体操作技能的学生；开设数约3；本层开设样例：柳州铁道职业技术学院/广西；湖南铁路科技职业技术学院/湖南；郑州铁路职业技术学院/河南。
757,500603,城市轨道交通机电技术,专科(高职),交通运输大类,城市轨道交通类,,三年,,105372.0,8900.0,3,4,3,4,2,1,1,1,4,数学、物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1108,弱相关,artificial_intelligence,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,2,浙江机电职业技术大学/浙江/排名605；浙江纺织服装职业技术学院/浙江,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；开设数约2；本层开设样例：浙江机电职业技术大学/浙江/排名605；浙江纺织服装职业技术学院/浙江。
758,500604,城市轨道交通通信信号技术,专科(高职),交通运输大类,城市轨道交通类,,三年,,137439.0,14300.0,3,4,3,5,2,1,1,1,4,物理、数学、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；该方向对物理、电路、力学或控制基础要求很高；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含数学/统计/算法训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1109,弱相关,digital_economy,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为物理、数学、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为物理、数学、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,2,西安信息职业大学/陕西/排名1187；郑州铁路职业技术学院/河南,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为物理、数学、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；开设数约2；本层开设样例：西安信息职业大学/陕西/排名1187；郑州铁路职业技术学院/河南。
759,500605,城市轨道交通供配电技术,专科(高职),交通运输大类,城市轨道交通类,,三年,,0.0,12600.0,3,4,3,4,2,1,1,1,4,数学、物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1110,弱相关,artificial_intelligence;green_low_carbon,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
761,500606,城市轨道交通运营管理,专科(高职),交通运输大类,城市轨道交通类,,三年,,110359.0,13000.0,4,3,3,4,2,1,1,1,4,语文、物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示文本、法规、教育或传播方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含阅读、写作、文献或沟通训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1112,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为语文、物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,2,武汉铁路职业技术学院/湖北；浙江交通职业技术学院/浙江,第2层更看学科基础与区域行业应用结合，核心学科为语文、物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；开设数约2；本层开设样例：武汉铁路职业技术学院/湖北；浙江交通职业技术学院/浙江。,5,贵州交通职业大学/贵州/排名785；内蒙古交通职业技术学院/内蒙古；安徽交通职业技术学院/安徽,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为语文、物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；开设数约5；本层开设样例：贵州交通职业大学/贵州/排名785；内蒙古交通职业技术学院/内蒙古；安徽交通职业技术学院/安徽。
9618,300601,城市轨道交通信号与控制技术,本科(职业),交通运输大类,城市轨道交通类,工学学士,四年,,0.0,0.0,3,4,3,5,2,1,1,1,4,物理、数学、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；该方向对物理、电路、力学或控制基础要求很高；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；资源环境/交通旅游类覆盖：地理场景和区域理解要求较高,否,,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为物理、数学、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为物理、数学、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为物理、数学、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
9619,300602,城市轨道交通设备与控制技术,本科(职业),交通运输大类,城市轨道交通类,工学学士,四年,,0.0,0.0,3,4,3,4,2,1,1,1,4,数学、物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；资源环境/交通旅游类覆盖：地理场景和区域理解要求较高；电气自动化/控制类覆盖：数学、物理、控制和设备系统要求高,否,,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
9621,300603,城市轨道交通智能运营,本科(职业),交通运输大类,城市轨道交通类,工学学士,四年,,0.0,0.0,3,3,3,4,2,1,1,1,4,物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示工程物理、力电或设备系统方向；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；资源环境/交通旅游类覆盖：地理场景和区域理解要求较高,否,,弱相关,artificial_intelligence;digital_economy;green_low_carbon,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
723,500301,航海技术,专科(高职),交通运输大类,水上运输类,,三年,,92211.0,16400.0,4,4,3,4,2,1,1,1,4,语文、数学、物理、地理,空间环境型：适合地理空间理解好，同时能做数学/物理建模、测绘、规划或资源环境分析的学生。,交通运输类：物理、设备系统、安全规范和地理空间理解重要；专业名称/专业类显示地理空间、资源环境、城乡规划或交通旅游方向；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；课程文本含阅读、写作、文献或沟通训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1074,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为语文、数学、物理、地理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,3,江苏海事职业技术学院/江苏；浙江交通职业技术学院/浙江；青岛港湾职业技术学院/山东,第2层更看学科基础与区域行业应用结合，核心学科为语文、数学、物理、地理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；开设数约3；本层开设样例：江苏海事职业技术学院/江苏；浙江交通职业技术学院/浙江；青岛港湾职业技术学院/山东。,2,安徽交通职业技术学院/安徽；青岛远洋船员职业学院/山东,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为语文、数学、物理、地理；适合目标明确、愿意把学科基础转成具体操作技能的学生；开设数约2；本层开设样例：安徽交通职业技术学院/安徽；青岛远洋船员职业学院/山东。
