university_tier,university_tier_name,major_code,major_name,major_type,tier_adjusted_risk_label,tier_adjusted_risk_score,base_risk_label,base_risk_score,base_risk_reasons,positive_reasons,tier_adjustment_reason
1,头部/强研究型高校,080801,自动化,本科(普通),相对稳健/机会型,15,中性/需结合学校,25,历史就业预警记录1条；官方停招/撤销/预警记录较多（37条）；master index 标记为就业/政策预警复核,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求很强；公职岗位匹配high；新质生产力相关方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,100513TK,中医骨伤科学,本科(普通),相对稳健/机会型,24,中性/需结合学校,39,机会信号同时带风险标记；招聘市场需求信号有限；公职/编制岗位匹配较弱,AI替代风险较低（较低）,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险
2,区域重点/特色优势高校,030101K,法学,本科(普通),高危,91,高危,94,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（54条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求中等；薪资信号较强,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,120401,公共事业管理,本科(普通),高危,97,高危,100,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（249条）；master index 标记为 high_risk_review；招聘市场需求信号有限,AI替代风险较低（较低）；公职岗位匹配high,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,040104,教育技术学,本科(普通),高危,87,高危,90,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（102条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；公职岗位匹配medium；新质生产力弱相关方向,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,071002,生物技术,本科(普通),高危,70,高危,73,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（90条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求中等；薪资信号较强；公职岗位匹配medium；新质生产力核心方向,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,580401,法律事务,专科(高职),高危,82,高危,88,就业红牌信号（红牌次数约1）；master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱,AI替代风险较低（较低）,第2层含双高/示范/骨干高职，优质职业院校能部分缓冲专业风险
2,区域重点/特色优势高校,050301,新闻学,本科(普通),风险观察,69,高危,72,官方停招/撤销/预警记录较多（30条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；薪资信号偏弱,招聘市场需求中等；公职岗位匹配high,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,050102,汉语言,本科(普通),风险观察,69,高危,72,官方停招/撤销/预警记录较多（36条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；薪资信号偏弱,招聘市场需求中等；公职岗位匹配high,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,390101,社会工作,本科(职业),风险观察,69,高危,72,官方停招/撤销/预警记录较多（88条）；master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱,AI替代风险较低（较低）；公职岗位匹配medium；新质生产力弱相关方向,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,510202,计算机网络技术,专科(高职),风险观察,69,高危,75,就业黄牌信号（黄牌次数约1）；存在官方专业设置风险记录（1条）；master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱,AI替代风险较低（较低）；新质生产力相关方向,第2层含双高/示范/骨干高职，优质职业院校能部分缓冲专业风险
2,区域重点/特色优势高校,050304,传播学,本科(普通),风险观察,68,高危,71,存在多条官方专业设置风险记录（11条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；招聘市场需求信号有限,公职岗位匹配high,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,080503T,新能源科学与工程,本科(普通),相对稳健/机会型,16,相对稳健/机会型,19,历史就业预警记录3条；存在官方专业设置风险记录（4条）；master index 标记为就业/政策预警复核,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求中等；公职岗位匹配medium；新质生产力核心方向,区域重点/特色优势高校可通过学科特色和区域产业匹配小幅缓冲风险
2,区域重点/特色优势高校,460702,新能源汽车技术,专科(高职),相对稳健/机会型,12,相对稳健/机会型,18,历史就业预警记录2条；master index 多信号风险桶：multi_signal_risk_review；招聘市场需求信号有限,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；新质生产力核心方向,第2层含双高/示范/骨干高职，优质职业院校能部分缓冲专业风险
2,区域重点/特色优势高校,460305,工业机器人技术,专科(高职),相对稳健/机会型,1,相对稳健/机会型,7,历史就业预警记录1条；机会信号同时带风险标记；薪资信号偏弱,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求中等；公职岗位匹配high；新质生产力相关方向,第2层含双高/示范/骨干高职，优质职业院校能部分缓冲专业风险
2,区域重点/特色优势高校,470201,应用化工技术,专科(高职),相对稳健/机会型,23,中性/需结合学校,29,历史就业预警记录8条；master index 多信号风险桶：multi_signal_risk_review；薪资信号偏弱,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求较强；新质生产力弱相关方向,第2层含双高/示范/骨干高职，优质职业院校能部分缓冲专业风险
2,区域重点/特色优势高校,460303,智能控制技术,专科(高职),相对稳健/机会型,0,相对稳健/机会型,0,历史就业预警记录2条,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求很强；公职岗位匹配high；新质生产力核心方向,第2层含双高/示范/骨干高职，优质职业院校能部分缓冲专业风险
3,普通应用/职业供给高校,030101K,法学,本科(普通),高危,100,高危,94,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（54条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求中等；薪资信号较强,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,120401,公共事业管理,本科(普通),高危,100,高危,100,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（249条）；master index 标记为 high_risk_review；招聘市场需求信号有限,AI替代风险较低（较低）；公职岗位匹配high,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,040104,教育技术学,本科(普通),高危,100,高危,90,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（102条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；公职岗位匹配medium；新质生产力弱相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,071002,生物技术,本科(普通),高危,93,高危,73,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（90条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求中等；薪资信号较强；公职岗位匹配medium；新质生产力核心方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,580401,法律事务,专科(高职),高危,100,高危,88,就业红牌信号（红牌次数约1）；master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱,AI替代风险较低（较低）,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,080601,电气工程及其自动化,本科(普通),风险观察,55,中性/需结合学校,35,历史就业预警记录8条；存在多条官方专业设置风险记录（18条）；master index 标记为就业/政策预警复核,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求较强；公职岗位匹配medium；新质生产力相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,080704,微电子科学与工程,本科(普通),风险观察,55,中性/需结合学校,35,历史就业预警记录5条；官方停招/撤销/预警记录较多（21条）；master index 标记为就业/政策预警复核,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求较强；薪资信号较强；新质生产力核心方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,530304,会计信息管理,专科(高职),风险观察,69,风险观察,49,存在官方专业设置风险记录（1条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；薪资信号偏弱,招聘市场需求较强；新质生产力弱相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,082602T,假肢矫形工程,本科(普通),风险观察,69,风险观察,49,存在官方专业设置风险记录（2条）；master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱；公职/编制岗位匹配较弱,AI替代风险较低（较低）；新质生产力核心方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,590102,党务工作,专科(高职),风险观察,69,风险观察,49,master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱,AI替代风险较低（较低）；新质生产力弱相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大；红黄牌或官方风险信号在第3层院校中需要额外上调风险
3,普通应用/职业供给高校,460305,工业机器人技术,专科(高职),相对稳健/机会型,19,相对稳健/机会型,7,历史就业预警记录1条；机会信号同时带风险标记；薪资信号偏弱,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求中等；公职岗位匹配high；新质生产力相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大
3,普通应用/职业供给高校,460303,智能控制技术,专科(高职),相对稳健/机会型,12,相对稳健/机会型,0,历史就业预警记录2条,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求很强；公职岗位匹配high；新质生产力核心方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大
3,普通应用/职业供给高校,083113TK,低空安全管理,本科(普通),相对稳健/机会型,23,相对稳健/机会型,11,机会信号同时带风险标记；公职/编制岗位匹配较弱,新质生产力核心方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大
3,普通应用/职业供给高校,530603,商务管理,专科(高职),相对稳健/机会型,23,相对稳健/机会型,11,机会信号同时带风险标记；薪资信号偏弱,AI替代风险较低（较低）；招聘市场需求很强；公职岗位匹配high；新质生产力弱相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大
3,普通应用/职业供给高校,080912T,新媒体技术,本科(普通),相对稳健/机会型,23,相对稳健/机会型,11,机会信号同时带风险标记；AI替代风险中等（中等）,招聘市场需求很强；新质生产力相关方向,普通应用/职业供给高校中，品牌、升学和平台缓冲较弱，专业风险会被放大
